GEOID,year,latino
01117030332,2010,7.0
01117030333,2010,98.0
01117030334,2010,498.0
01117030336,2010,148.0
01117030337,2010,194.0
01117030340,2010,211.0
01117030341,2010,112.0
01117030342,2010,132.0
01117030344,2010,22.0
01117030345,2010,35.0
01117030405,2010,10.0
01117030406,2010,248.0
01117030407,2010,118.0
01117030408,2010,106.0
01117030501,2010,413.0
01117030502,2010,0.0
01117030604,2010,393.0
01117030605,2010,190.0
01117030607,2010,393.0
01117030608,2010,36.0
01117030609,2010,226.0
01117030701,2010,211.0
01117030703,2010,141.0
01117030704,2010,96.0
01117030800,2010,122.0
01117030900,2010,0.0
01117980000,2010,0.0
01127020100,2010,410.0
01127020200,2010,104.0
01127020300,2010,235.0
01127020400,2010,47.0
01127020600,2010,125.0
01127020700,2010,175.0
01127020800,2010,0.0
01127020900,2010,29.0
01127021000,2010,18.0
01127021100,2010,0.0
01127021200,2010,0.0
01127021300,2010,0.0
01127021400,2010,17.0
01127021500,2010,15.0
01127021600,2010,0.0
01127021700,2010,44.0
01127021800,2010,18.0
01127021900,2010,0.0
04013010101,2010,183.0
04013010102,2010,91.0
04013030401,2010,27.0
04013030402,2010,110.0
04013040502,2010,772.0
04013040506,2010,44.0
04013040507,2010,14.0
04013040512,2010,0.0
04013040513,2010,0.0
04013040514,2010,33.0
04013040515,2010,944.0
04013040516,2010,124.0
04013040517,2010,1541.0
04013040518,2010,687.0
04013040519,2010,35.0
04013040520,2010,542.0
04013040521,2010,238.0
04013040522,2010,0.0
04013040523,2010,56.0
04013040524,2010,73.0
04013040525,2010,25.0
04013040526,2010,28.0
04013040527,2010,459.0
04013040528,2010,60.0
04013040529,2010,60.0
04013040530,2010,256.0
04013040531,2010,493.0
04013050603,2010,1190.0
04013050604,2010,1066.0
04013050605,2010,848.0
04013050606,2010,1361.0
04013050607,2010,3309.0
04013050608,2010,2490.0
04013050609,2010,2086.0
04013050610,2010,2561.0
04013050611,2010,1543.0
04013050701,2010,1926.0
04013050702,2010,2704.0
04013060801,2010,2866.0
04013060802,2010,323.0
04013060901,2010,1439.0
04013060902,2010,2010.0
04013060903,2010,2616.0
04013060904,2010,2154.0
04013061009,2010,2455.0
04013061010,2010,949.0
04013061011,2010,2513.0
04013061012,2010,1505.0
04013061013,2010,1286.0
04013061014,2010,642.0
04013061015,2010,1441.0
04013061016,2010,303.0
04013061017,2010,1223.0
04013061018,2010,49.0
04013061019,2010,859.0
04013061020,2010,1034.0
04013061021,2010,307.0
04013061022,2010,2776.0
04013061023,2010,3060.0
04013061024,2010,1323.0
04013061025,2010,1073.0
04013061026,2010,735.0
04013061027,2010,779.0
04013061028,2010,503.0
04013061029,2010,1589.0
04013061030,2010,1286.0
04013061031,2010,359.0
04013061032,2010,948.0
04013061033,2010,846.0
04013061034,2010,1113.0
04013061035,2010,1492.0
04013061036,2010,277.0
04013061037,2010,701.0
04013061038,2010,926.0
04013061039,2010,524.0
04013061040,2010,1215.0
04013061041,2010,1981.0
04013061042,2010,383.0
04013061043,2010,1094.0
04013061044,2010,530.0
04013061045,2010,865.0
04013061046,2010,1947.0
04013061047,2010,549.0
04013061100,2010,184.0
04013061200,2010,3282.0
04013061300,2010,1285.0
04013061401,2010,1508.0
04013061402,2010,4467.0
04013071503,2010,14.0
04013071504,2010,18.0
04013071505,2010,505.0
04013071506,2010,243.0
04013071509,2010,908.0
04013071510,2010,676.0
04013071511,2010,286.0
04013071512,2010,1005.0
04013071513,2010,194.0
