GEOID,year,white
01117030608,2010,2408.0
01117030609,2010,5275.0
01117030701,2010,2677.0
01117030703,2010,3311.0
01117030704,2010,3894.0
01117030800,2010,3412.0
01117030900,2010,2571.0
01117980000,2010,0.0
01127020100,2010,2857.0
01127020200,2010,4091.0
01127020300,2010,6368.0
01127020400,2010,1393.0
01127020600,2010,2227.0
01127020700,2010,3265.0
01127020800,2010,5025.0
01127020900,2010,4515.0
01127021000,2010,3798.0
01127021100,2010,3728.0
01127021200,2010,3218.0
01127021300,2010,3074.0
01127021400,2010,3250.0
01127021500,2010,2992.0
01127021600,2010,1385.0
01127021700,2010,4327.0
01127021800,2010,3650.0
01127021900,2010,2139.0
04013010101,2010,3651.0
04013010102,2010,3886.0
04013030401,2010,3822.0
04013030402,2010,3356.0
04013040502,2010,3822.0
04013040506,2010,5592.0
04013040507,2010,6475.0
04013040512,2010,1915.0
04013040513,2010,2885.0
04013040514,2010,3157.0
04013040515,2010,3330.0
04013040516,2010,1170.0
04013040517,2010,4609.0
04013040518,2010,4110.0
04013040519,2010,2223.0
04013040520,2010,2818.0
04013040521,2010,2531.0
04013040522,2010,4192.0
04013040523,2010,3038.0
04013040524,2010,1086.0
04013040525,2010,3022.0
04013040526,2010,2219.0
04013040527,2010,3299.0
04013040528,2010,5747.0
04013040529,2010,2891.0
04013040530,2010,2812.0
04013040531,2010,2102.0
04013050603,2010,1900.0
04013050604,2010,1771.0
04013050605,2010,2411.0
04013050606,2010,4352.0
04013050607,2010,3739.0
04013050608,2010,4543.0
04013050609,2010,2472.0
04013050610,2010,3759.0
04013050611,2010,1022.0
04013050701,2010,2971.0
04013050702,2010,2006.0
04013060801,2010,2000.0
04013060802,2010,735.0
04013060901,2010,1761.0
04013060902,2010,499.0
04013060903,2010,1370.0
04013060904,2010,1375.0
04013061009,2010,3600.0
04013061010,2010,3310.0
04013061011,2010,3138.0
04013061012,2010,4828.0
04013061013,2010,2769.0
04013061014,2010,1921.0
04013061015,2010,3092.0
04013061016,2010,1082.0
04013061017,2010,1511.0
04013061018,2010,3700.0
04013061019,2010,1533.0
04013061020,2010,2367.0
04013061021,2010,580.0
04013061022,2010,4037.0
04013061023,2010,5118.0
04013061024,2010,1057.0
04013061025,2010,3900.0
04013061026,2010,3380.0
04013061027,2010,4087.0
04013061028,2010,1592.0
04013061029,2010,3038.0
04013061030,2010,4486.0
04013061031,2010,1398.0
04013061032,2010,3861.0
04013061033,2010,4584.0
04013061034,2010,3877.0
04013061035,2010,3559.0
04013061036,2010,1505.0
04013061037,2010,2230.0
04013061038,2010,2452.0
04013061039,2010,2346.0
04013061040,2010,2016.0
04013061041,2010,1365.0
04013061042,2010,1382.0
04013061043,2010,934.0
04013061044,2010,2766.0
04013061045,2010,3544.0
04013061046,2010,2693.0
04013061047,2010,1884.0
04013061100,2010,2063.0
04013061200,2010,2038.0
04013061300,2010,627.0
04013061401,2010,115.0
04013061402,2010,689.0
04013071503,2010,4845.0
04013071504,2010,3837.0
04013071505,2010,5220.0
04013071506,2010,3940.0
04013071509,2010,3633.0
04013071510,2010,3170.0
04013071511,2010,2554.0
04013071512,2010,4473.0
04013071513,2010,1494.0
04013071514,2010,2673.0
04013071515,2010,3320.0
04013071516,2010,2317.0
04013071517,2010,2304.0
04013071600,2010,1822.0
04013071701,2010,1312.0
04013071702,2010,3312.0
04013071801,2010,4778.0
04013071802,2010,2855.0
04013071903,2010,3759.0
04013071906,2010,2503.0
04013071909,2010,2766.0
04013071910,2010,3484.0
04013071911,2010,1840.0
04013071912,2010,1020.0
04013071913,2010,2154.0
04013071914,2010,1331.0
04013071915,2010,1881.0
04013082002,2010,2543.0
04013082007,2010,836.0
04013082008,2010,761.0
04013082009,2010,745.0
04013082010,2010,852.0
04013082012,2010,1134.0
04013082016,2010,1149.0
04013082017,2010,1399.0
04013082018,2010,788.0
04013082019,2010,1202.0
04013082020,2010,2024.0
04013082021,2010,1500.0
04013082022,2010,1228.0
04013082023,2010,2329.0
04013082024,2010,1624.0
04013082025,2010,633.0
04013082026,2010,1891.0
04013082027,2010,942.0
04013082028,2010,608.0
04013082203,2010,1145.0
04013082204,2010,1035.0
04013082205,2010,1541.0
04013082206,2010,342.0
04013082207,2010,848.0
04013082208,2010,432.0
04013082209,2010,149.0
04013082210,2010,1411.0
04013082211,2010,1904.0
04013083000,2010,623.0
04013092305,2010,2563.0
04013092306,2010,3573.0
04013092307,2010,3263.0
04013092308,2010,4327.0
04013092309,2010,3146.0
04013092311,2010,1357.0
04013092312,2010,2778.0
04013092401,2010,1658.0
04013092402,2010,1873.0
04013092500,2010,1424.0
04013092600,2010,786.0
04013092705,2010,951.0
04013092708,2010,1047.0
04013092709,2010,2503.0
04013092710,2010,2521.0
04013092711,2010,1585.0
04013092712,2010,1263.0
04013092713,2010,1284.0
04013092715,2010,1098.0
04013092716,2010,843.0
04013092717,2010,885.0
04013092718,2010,1020.0
04013092719,2010,2489.0
04013092720,2010,2100.0
04013092721,2010,1644.0
04013092723,2010,1966.0
04013092724,2010,2572.0
04013092801,2010,493.0
04013092802,2010,966.0
04013092900,2010,377.0
04013093001,2010,1593.0
04013093002,2010,935.0
04013093101,2010,1516.0
04013093104,2010,1228.0
04013093105,2010,933.0
04013093106,2010,1167.0
04013093200,2010,1386.0
04013103205,2010,2643.0
04013103206,2010,2186.0
04013103207,2010,2319.0
04013103208,2010,3136.0
04013103209,2010,4458.0
04013103210,2010,5107.0
04013103211,2010,3954.0
04013103212,2010,3871.0
04013103214,2010,3887.0
04013103215,2010,2812.0
04013103216,2010,4929.0
04013103217,2010,5882.0
04013103219,2010,3042.0
04013103220,2010,2545.0
04013103302,2010,4127.0
04013103303,2010,3022.0
04013103304,2010,916.0
04013103305,2010,1046.0
04013103306,2010,930.0
04013103400,2010,3805.0
04013103501,2010,2421.0
04013103502,2010,4829.0
04013103604,2010,2416.0
04013103605,2010,5321.0
04013103606,2010,2846.0
04013103607,2010,3744.0
04013103608,2010,1973.0
04013103609,2010,2925.0
04013103611,2010,4182.0
04013103612,2010,3963.0
04013103614,2010,2861.0
04013103615,2010,1572.0
04013103701,2010,3615.0
04013103702,2010,2126.0
04013103900,2010,3310.0
04013104000,2010,4246.0
04013104100,2010,4079.0
04013104202,2010,4484.0
04013104203,2010,3986.0
04013104204,2010,2329.0
04013104205,2010,2596.0
04013104206,2010,2342.0
04013104207,2010,3451.0
04013104212,2010,5230.0
04013104214,2010,1741.0
04013104215,2010,2742.0
04013104216,2010,4042.0
04013104217,2010,4018.0
04013104218,2010,2800.0
04013104219,2010,2371.0
04013104221,2010,4086.0
04013104222,2010,4178.0
04013104223,2010,1367.0
04013104224,2010,4737.0
04013104225,2010,3512.0
04013104226,2010,3532.0
04013104227,2010,1467.0
04013104301,2010,2216.0
04013104302,2010,2169.0
04013104401,2010,2549.0
04013104402,2010,833.0
04013104501,2010,804.0
04013104502,2010,1271.0
04013104600,2010,2364.0
04013104701,2010,1493.0
04013104702,2010,1810.0
04013104801,2010,2973.0
04013104802,2010,5370.0
04013104900,2010,3794.0
04013105002,2010,2416.0
04013105003,2010,4515.0
04013105004,2010,2291.0
04013105101,2010,4204.0
04013105102,2010,3696.0
04013105103,2010,2910.0
04013105200,2010,3736.0
04013105300,2010,4143.0
04013105400,2010,2868.0
04013105501,2010,931.0
04013105502,2010,322.0
04013105503,2010,1013.0
04013105601,2010,1359.0
04013105602,2010,2520.0
04013105701,2010,2147.0
04013105702,2010,1573.0
04013105800,2010,3481.0
04013105900,2010,2993.0
04013106001,2010,464.0
04013106002,2010,1159.0
04013106003,2010,1269.0
04013106100,2010,4695.0
04013106200,2010,3031.0
04013106300,2010,3196.0
04013106400,2010,1896.0
04013106501,2010,2597.0
04013106502,2010,2914.0
04013106600,2010,3251.0
04013106701,2010,1411.0
04013106702,2010,1161.0
04013106703,2010,1361.0
04013106801,2010,1374.0
04013106802,2010,1589.0
04013106900,2010,2973.0
04013107000,2010,2520.0
04013107101,2010,1038.0
04013107102,2010,761.0
04013107201,2010,744.0
04013107202,2010,968.0
04013107300,2010,1570.0
04013107400,2010,3071.0
04013107500,2010,3159.0
04013107601,2010,1663.0
04013107602,2010,2132.0
04013107700,2010,2728.0
04013107800,2010,1653.0
04013107900,2010,3520.0
04013108000,2010,3359.0
04013108100,2010,1802.0
04013108200,2010,2724.0
04013108301,2010,2957.0
04013108302,2010,2387.0
04013108400,2010,3513.0
04013108501,2010,844.0
04013108502,2010,2089.0
04013108601,2010,822.0
04013108602,2010,1334.0
04013108802,2010,1103.0
04013108901,2010,1401.0
04013108902,2010,2176.0
04013109001,2010,883.0
04013109002,2010,706.0
04013109003,2010,698.0
04013109101,2010,1053.0
04013109102,2010,746.0
04013109200,2010,700.0
04013109300,2010,702.0
04013109400,2010,1324.0
04013109500,2010,1050.0
04013109601,2010,988.0
04013109602,2010,929.0
04013109603,2010,922.0
04013109604,2010,676.0
04013109701,2010,1042.0
04013109702,2010,565.0
04013109703,2010,476.0
04013109704,2010,303.0
04013109705,2010,256.0
04013109801,2010,629.0
04013109802,2010,713.0
04013109900,2010,808.0
04013110001,2010,600.0
04013110002,2010,616.0
04013110100,2010,737.0
04013110400,2010,2669.0
04013110501,2010,1458.0
04013110502,2010,1295.0
04013110600,2010,3240.0
04013110701,2010,708.0
04013110702,2010,1657.0
04013110801,2010,1769.0
04013110802,2010,1284.0
04013110901,2010,1754.0
04013110902,2010,1786.0
04013111000,2010,3063.0
04013111100,2010,3503.0
04013111201,2010,2153.0
04013111202,2010,607.0
04013111203,2010,481.0
04013111204,2010,790.0
04013111300,2010,2071.0
04013111401,2010,627.0
04013111402,2010,1013.0
04013111501,2010,222.0
04013111502,2010,1735.0
