id,year,bus
13,2003,24266799
13,2004,28368908
13,2005,29983363
13,2006,29693668
13,2007,29251739
13,2008,29890361
13,2009,30443037
13,2010,30341013
13,2011,27344635
13,2012,23918726
13,2013,26306301
13,2014,25277194
13,2015,23590779
13,2016,21242603
13,2017,19465764
14,1991,0
14,1992,0
14,1993,0
14,1994,0
14,1995,0
14,1996,0
14,1997,0
14,1998,0
14,1999,0
14,2000,0
14,2001,0
14,2002,0
14,2003,0
14,2004,0
14,2005,0
14,2006,0
14,2007,0
14,2008,0
14,2009,0
14,2010,0
14,2011,0
14,2012,0
14,2013,0
14,2014,0
14,2015,0
14,2016,0
14,2017,0
15,1991,0
15,1992,6868424
15,1993,9775732
15,1994,11052008
15,1995,12439329
15,1996,13464204
15,1997,15249854
15,1998,0
15,1999,0
15,2000,0
15,2001,0
15,2002,16761933
15,2003,17101409
15,2004,15044120
15,2005,14747521
15,2006,14664799
15,2007,14392111
15,2008,14561590
15,2009,14283970
15,2010,14280609
15,2011,13938044
15,2012,13860335
15,2013,14058929
15,2014,14522170
15,2015,14596534
15,2016,13584135
15,2017,13561124
16,1991,19472820
16,1992,18762519
16,1993,18005720
16,1994,17602352
16,1995,17770370
16,1996,18433192
16,1997,19368271
16,1998,20794059
16,1999,21739545
16,2000,22181440
16,2001,22941404
16,2002,22533044
16,2003,20043352
16,2004,20629900
16,2005,20543294
16,2006,21962827
16,2007,21827761
16,2008,20985747
16,2009,21982399
16,2010,22350252
16,2011,22260408
16,2012,21288131
16,2013,19319086
16,2014,18817490
16,2015,18748868
16,2016,16576943
16,2017,13333812
17,1991,0
17,1992,0
17,1993,0
17,1994,0
17,1995,0
17,1996,0
17,1997,0
17,1998,0
17,1999,0
17,2000,0
17,2001,0
17,2002,0
17,2003,0
17,2004,0
17,2005,0
17,2006,0
17,2007,3845722
17,2008,3428570
17,2009,2868934
17,2010,4131028
17,2011,7721533
17,2012,7613296
17,2013,8198807
17,2014,9010525
17,2015,8915038
17,2016,9528312
17,2017,9535775
18,1991,21811332
18,1992,19909680
18,1993,19826548
18,1994,19143157
18,1995,20151100
18,1996,21228793
18,1997,22235777
18,1998,23646110
18,1999,24759859
18,2000,25689411
18,2001,26380755
18,2002,26240388
18,2003,27409749
18,2004,28920489
18,2005,27424015
18,2006,28649899
18,2007,28294976
18,2008,28854771
18,2009,27811671
18,2010,23668594
18,2011,23469147
18,2012,24854019
18,2013,24446973
18,2014,24446788
18,2015,24060062
18,2016,32468237
18,2017,29848888
19,1991,392088602
19,1992,370335119
19,1993,326655953
19,1994,331520746
19,1995,306075585
19,1996,302115116
19,1997,287628293
19,1998,290530719
19,1999,299058490
19,2000,302089554
19,2001,301690748
19,2002,303295027
19,2003,291804434
19,2004,294030775
19,2005,303244197
19,2006,298433228
19,2007,309271311
19,2008,328199214
19,2009,318672798
19,2010,306023976
19,2011,310381447
19,2012,314423578
19,2013,300116357
19,2014,276116759
19,2015,274288766
19,2016,259058440
19,2017,249231171
20,1991,0
20,1992,0
20,1993,0
20,1994,0
20,1995,0
20,1996,0
20,1997,0
20,1998,0
20,1999,0
20,2000,0
20,2001,0
20,2002,0
20,2003,0
20,2004,0
20,2005,0
20,2006,0
20,2007,0
20,2008,0
20,2009,0
20,2010,0
20,2011,0
20,2012,0
20,2013,0
20,2014,0
20,2015,0
20,2016,0
20,2017,0
21,1991,38630904
21,1992,37608025
21,1993,36184807
21,1994,35071501
21,1995,33524700
21,1996,33644930
21,1997,35176607
21,1998,36621473
21,1999,37448664
21,2000,36049708
21,2001,34321558
21,2002,32268476
21,2003,30979385
21,2004,31440977
21,2005,33769583
21,2006,33691072
21,2007,33587298
21,2008,34655169
21,2009,29296943
21,2010,29292008
21,2011,30630554
21,2012,32191038
21,2013,32685693
21,2014,31685589
21,2015,30118241
21,2016,28399520
21,2017,28804740
22,1991,2025132
22,1992,2272401
22,1993,2712914
22,1994,2996714
22,1995,2219108
22,1996,2238240
22,1997,2548823
22,1998,2440410
22,1999,2549434
22,2000,2036634
22,2001,1988667
22,2002,1576563
22,2003,1560194
22,2004,1784601
22,2005,1477528
22,2006,953870
22,2007,1198698
22,2008,1156160
22,2009,1113679
22,2010,1241398
22,2011,991904
22,2012,1010139
22,2013,1067291
22,2014,1122673
22,2015,1135439
22,2016,1098404
22,2017,1044138
23,1991,56279726
23,1992,55895195
23,1993,70001630
23,1994,63765755
23,1995,62257868
23,1996,61405604
23,1997,62013539
23,1998,62269585
23,1999,63827287
23,2000,65821048
23,2001,65413709
23,2002,63369445
23,2003,64546632
23,2004,75137426
23,2005,76752965
23,2006,81637435
23,2007,83458376
23,2008,85789745
23,2009,75608000
23,2010,70291985
23,2011,75723805
23,2012,77858973
23,2013,78892846
23,2014,77356941
23,2015,72757836
23,2016,65539767
23,2017,58383786
24,1991,19537266
24,1992,20551805
24,1993,21726113
24,1994,22789308
24,1995,23967275
24,1996,24220674
24,1997,25638291
24,1998,25847114
24,1999,26469628
24,2000,27573149
24,2001,31520462
24,2002,32813786
24,2003,35912736
24,2004,38256615
24,2005,39736656
24,2006,39686573
24,2007,41608063
24,2008,38716430
24,2009,36804682
24,2010,36585348
24,2011,35943338
24,2012,37917735
24,2013,38098965
24,2014,38118531
24,2015,37166769
24,2016,32657649
24,2017,28980451
25,1991,2712882
25,1992,2712882
25,1993,2714615
25,1994,2714615
25,1995,2714615
25,1996,2746242
25,1997,3971573
25,1998,4431208
25,1999,5782238
25,2000,6463416
25,2001,5925335
25,2002,6398672
25,2003,7199527
25,2004,7654292
25,2005,8419477
25,2006,9310413
25,2007,10133250
25,2008,9844864
25,2009,10045345
25,2010,10343531
25,2011,11143922
25,2012,11579046
25,2013,12018198
25,2014,11426791
25,2015,10773438
25,2016,9707356
25,2017,8915163
26,1991,0
26,1992,0
26,1993,0
26,1994,0
26,1995,0
26,1996,0
26,1997,0
26,1998,0
26,1999,0
26,2000,0
26,2001,0
26,2002,0
26,2003,0
26,2004,39888
26,2005,263660
26,2006,233868
26,2007,301437
26,2008,399734
26,2009,488136
26,2010,444298
26,2011,605904
26,2012,935919
26,2013,921631
26,2014,1001058
26,2015,1071014
26,2016,1100336
26,2017,945901
27,1991,0
27,1992,0
27,1993,0
27,1994,0
27,1995,0
27,1996,0
27,1997,0
27,1998,0
27,1999,0
27,2000,0
27,2001,0
27,2002,0
27,2003,0
27,2004,0
27,2005,0
27,2006,0
27,2007,0
27,2008,0
27,2009,0
27,2010,0
27,2011,0
27,2012,0
27,2013,0
27,2014,14759
27,2015,496289
27,2016,2565945
27,2017,2358741
28,1991,191423032
28,1992,179752077
28,1993,177691031
28,1994,173345461
28,1995,172846761
28,1996,165759070
28,1997,166497784
28,1998,141751630
28,1999,171997571
28,2000,172013743
28,2001,174111139
28,2002,173930943
28,2003,178628467
28,2004,187529994
28,2005,187960265
28,2006,177105684
28,2007,170491709
28,2008,183574756
28,2009,186165268
28,2010,183625270
28,2011,189748689
28,2012,195991796
28,2013,191091634
28,2014,183962132
28,2015,177983650
28,2016,188984891
28,2017,169407096
29,1991,0
29,1992,0
29,1993,0
29,1994,0
29,1995,0
29,1996,0
