id,year,upt
12,2008,28285338
12,2009,29799051
12,2010,28605571
12,2011,27912518
12,2012,28230703
12,2013,28648284
12,2014,28532560
12,2015,28117340
12,2016,26323460
12,2017,25263321
13,1991,0
13,1992,0
13,1993,5642145
13,1994,5822002
13,1995,5810774
13,1996,6580851
13,1997,5886559
13,1998,8039122
13,1999,7574206
13,2000,13553082
13,2001,22293869
13,2002,22763014
13,2003,25531342
13,2004,29713243
13,2005,31112645
13,2006,30697564
13,2007,30205735
13,2008,30892169
13,2009,31444384
13,2010,31350971
13,2011,27825576
13,2012,24266043
13,2013,26619776
13,2014,25584956
13,2015,23895017
13,2016,21536305
13,2017,19734177
14,1991,0
14,1992,0
14,1993,939456
14,1994,3291172
14,1995,4401664
14,1996,5440791
14,1997,5534633
14,1998,6218214
14,1999,6734076
14,2000,6978588
14,2001,7397965
14,2002,7910810
14,2003,7910810
14,2004,9783403
14,2005,10693327
14,2006,11706680
14,2007,12018859
14,2008,12680973
14,2009,12241830
14,2010,12005849
14,2011,11270214
14,2012,13155790
14,2013,13444752
14,2014,13429362
14,2015,13975359
14,2016,13758419
14,2017,14396198
15,1991,0
15,1992,6868424
15,1993,9775732
15,1994,11052008
15,1995,12439329
15,1996,13464204
15,1997,15249854
15,1998,0
15,1999,0
15,2000,0
15,2001,0
15,2002,16761933
15,2003,17101409
15,2004,15044120
15,2005,14747521
15,2006,14664799
15,2007,14392111
15,2008,14561590
15,2009,14283970
15,2010,14280609
15,2011,13938044
15,2012,13860335
15,2013,14058929
15,2014,14522170
15,2015,14596534
15,2016,13584135
15,2017,13561124
16,1991,19472820
16,1992,18762519
16,1993,18005720
16,1994,17602352
16,1995,17770370
16,1996,18433192
16,1997,19368271
16,1998,20815273
16,1999,21760483
16,2000,22205062
16,2001,22964000
16,2002,22558892
16,2003,20070083
16,2004,20657126
16,2005,20570490
16,2006,21984368
16,2007,21850409
16,2008,21008551
16,2009,22006705
16,2010,22375445
16,2011,22285115
16,2012,21314018
16,2013,19344375
16,2014,18841607
16,2015,18773986
16,2016,16601271
16,2017,13356740
17,1991,0
17,1992,0
17,1993,0
17,1994,0
17,1995,0
17,1996,0
17,1997,0
17,1998,0
17,1999,0
17,2000,0
17,2001,0
17,2002,0
17,2003,0
17,2004,0
17,2005,0
17,2006,0
17,2007,3845722
17,2008,3428570
17,2009,2868934
17,2010,4131028
17,2011,7721533
17,2012,7613296
17,2013,8198807
17,2014,9010525
17,2015,8915038
17,2016,9528312
17,2017,9535775
18,1991,22198008
18,1992,20338302
18,1993,20235375
18,1994,19723694
18,1995,20916140
18,1996,22360420
18,1997,23558932
18,1998,25236358
18,1999,26747071
18,2000,27705688
18,2001,28494155
18,2002,28740088
18,2003,30269987
18,2004,31671116
18,2005,30204899
18,2006,31415781
18,2007,31040454
18,2008,31760539
18,2009,31011853
18,2010,26854343
18,2011,26867783
18,2012,28532601
18,2013,28325473
18,2014,28588429
18,2015,28464306
18,2016,38315901
18,2017,35640889
19,1991,540646178
19,1992,508719618
19,1993,463193591
19,1994,475715861
19,1995,442226223
19,1996,444819640
19,1997,439264706
19,1998,445313180
19,1999,466735403
19,2000,479586574
19,2001,484820801
19,2002,485225048
19,2003,474742925
