GEOID,year,pop,density,foreign_pct,white_pct,black_pct,asian_pct,latino_pct,over75_pct,income,rent,no_vehicle_pct,drive_pct,transit_pct
12060,2010,5125113,227.8699147899548,0.13450649771039194,0.5205924240109437,0.31959041683568734,0.046978476377008666,0.09819334715156525,0.03519824831179332,66182.5,1051.1,0.06146738370610064,0.7752200749385917,0.03364366135140826
12060,2011,5213854,231.815467621351,0.13487163238556354,0.5135709592175002,0.32195531367007973,0.04784982471699438,0.1013027982755175,0.035603413520977,64716.96000000001,1049.44,0.06105518546107095,0.7753773478336774,0.03270710742783203
12060,2012,5291701,235.27665750275528,0.1348566368356791,0.5078365160843366,0.3243841630507846,0.04890072209295272,0.10316531489590965,0.03611031689054238,62642.3,1034.41,0.06156644983758857,0.7759253598132029,0.031944101817240056
12060,2013,5379176,239.1659221484814,0.13403223839487682,0.5034191110311319,0.32603078984587974,0.04992307371984111,0.10373057137375687,0.036908440995423834,61133.4,1033.5600000000002,0.061600005423499714,0.778531480363924,0.031195011223599755
12060,2014,5455053,242.5395229889931,0.13332317761165657,0.4987190775231698,0.32890697853898027,0.05150912374270241,0.1043993523069345,0.03775325372640743,60015.08,1028.2,0.062409419962484954,0.7785906529451077,0.03088521823053269
12060,2015,5535837,246.13129612577893,0.13421728277042838,0.4939094124339282,0.330830008181238,0.05306713329890313,0.10451427670287257,0.03863245973463453,60420.0,1035.6200000000001,0.061821519551844,0.7798633698178657,0.030284390571966822
12060,2016,5612777,249.55215947921894,0.134250122532928,0.4882663252076468,0.3346065592842901,0.054551427929525796,0.10418692921525298,0.03972525543060058,62142.15,1053.15,0.061786306918730854,0.7789095607926644,0.03017431047105307
12060,2017,5700990,253.47423666919823,0.13638315450474392,0.4819931275094326,0.3369207804258559,0.05606868280772287,0.10525066698941762,0.04066048177597224,62967.66,1074.06,0.060125329896576964,0.7758855923886274,0.030704363058622234
12060,2018,5779463,256.963259413343,0.13707294258999494,0.47645083980985775,0.3394417439820966,0.05745447284635268,0.10583820676765299,0.0420374695711349,64766.0,1106.0,0.05931420043878699,0.7757888273070918,0.03053878033487412
12420,2010,1627571,148.85375603117538,0.1447506744713441,0.5542301994813129,0.0747727748896976,0.0477877770002046,0.30637188792378334,0.03372940412430548,66195.15,1031.55,0.05091658562782124,0.7514174742655679,0.026094647311020642
12420,2011,1681167,153.75551817135045,0.14480120059458698,0.5494831863818407,0.07451371577005735,0.048193308576720814,0.31054440159722385,0.03378962351747328,66613.12000000001,1048.3200000000002,0.05082740462015961,0.7490550658525938,0.02601097602381175
12420,2012,1731777,158.38418788390848,0.14599281547219994,0.5460345067523128,0.07445127172840384,0.04888389209465191,0.3135438338769946,0.03401130746048712,65014.14000000001,1051.8500000000001,0.05073471804963511,0.7503990600304012,0.025656414796211037
12420,2013,1782032,162.9803901444223,0.14591657164405578,0.5431636468929851,0.07334380078472216,0.04933525323899907,0.31548142794293255,0.03436806970918592,65696.40000000001,1067.04,0.048942311769659005,0.7591398260236448,0.024314442823980962
12420,2014,1835016,167.82618022642535,0.1469447677840411,0.5393315371637086,0.073011897443946,0.0504148192713306,0.31740813159122316,0.03502094804622957,65614.0,1074.8400000000001,0.04861544945029018,0.7601643381792027,0.024082953728122754
12420,2015,1889094,172.77202493529145,0.1475680934882012,0.5360564376362426,0.07338597232324066,0.051577634569799066,0.3187130973895423,0.0353312222684525,67243.22,1106.64,0.047857323170041696,0.7634372655133241,0.024129857935133912
12420,2016,1942615,177.66692775461212,0.1462724214525266,0.5334932552255593,0.0731498521323062,0.05301771066320398,0.31942150142977377,0.03612501705175755,69397.65000000001,1152.9,0.04607926171207791,0.7651958520593316,0.023492387359787672
12420,2017,2000590,182.9691827750735,0.14898854837822842,0.5285790691745935,0.07260008297552221,0.05495028966454896,0.3218115655881515,0.036574710460414175,71111.34,1178.1,0.04518981017602261,0.7659706399653066,0.022560421421486197
12420,2018,2058351,188.251865866697,0.14969409979153214,0.5240816556554252,0.07321103154904096,0.05698979425763633,0.32348418709928484,0.03703935820469881,73213.0,1217.0,0.04395648784349842,0.7649883334808143,0.021776571021390946
12580,2010,2683160,398.22911456514726,0.08657254878576007,0.6099699607924984,0.2851656256056292,0.042854693719345846,0.041239061405208784,0.05878218220307399,76124.25,1170.6999999999998,0.11184364948807975,0.7610135303514498,0.0626768175231799
12580,2011,2697421,400.3457029917836,0.0892311582063015,0.6043176055943807,0.28628679023407916,0.04451622494226893,0.04361202793334819,0.058855847863570426,76037.92000000001,1195.0400000000002,0.11243759453888537,0.76187058566668,0.06272706737550343
12580,2012,2715650,403.0512138556188,0.09141200081011912,0.599582420415002,0.28713899066521825,0.045975365013900905,0.04554821129379707,0.05893101099184357,74791.44,1199.0,0.11395470777195608,0.7631600451306503,0.06278708003943309
12580,2013,2734044,405.7812136816863,0.09244620788838805,0.5947325646551409,0.2871197391117334,0.04748021611941871,0.047668947537055,0.05889663809360786,74916.36,1210.68,0.11441706288216905,0.7664938565983285,0.0628223349342027
12580,2014,2753396,408.65339790665416,0.0940841782293575,0.589898801334788,0.2882800004067704,0.049213407733577005,0.04956533676957474,0.05899623592102262,74529.66,1209.46,0.11300724297414082,0.7674022243478158,0.06399752850242695
12580,2015,2769818,411.0907175295573,0.09643666118134837,0.5850842907367921,0.2887604889563141,0.05121600047367733,0.05117375943112508,0.059150456817018304,75192.16,1221.1200000000001,0.11262148850925204,0.7671379126652206,0.06501473042295886
