taname,msaid,year,upt,bus_upt,rail_upt,vrm,bus_vrm,rail_vrm,minimum_headways,avg_speed,bus_speed,rail_speed,operating_expenses_total,fare_revenue,avg_fare,bus_avg_fare,rail_avg_fare,farebox_recovery,bus_recovery,rail_recovery,miles_between_failures,state_gas_price_per_gal,trips_per_capita,upt_per_vrm,bus_vrm_per_ride,rail_vrm_per_ride,avg_trip_length_mi
COTPA,36420,2010,2805659.0,2747678.0,,3125856.0,2573086.0,,47.28959294136817,15.995415050506084,15.84939573503505,,20357905.0,2084298.0,0.8543243138243101,0.7788563652655077,,0.102382735355136,0.10787948472967694,,21446.9,3.1338452857142856,4.314931384867607,0.8975650189899983,1.0678531537616698,,5.1139906881057176
COTPA,36420,2011,2776507.0,2713045.0,,3012070.0,2493849.0,,45.3114126663723,15.851414858514149,15.842511831782232,,21594342.0,2672916.0,1.0782129920796166,0.9683929901641883,,0.12377853421048902,0.13138419907910004,,15863.59,3.887059200000001,4.270097397654029,0.9217936502139724,1.0878946560116511,,6.151536805057578
COTPA,36420,2012,2902811.0,2839179.0,,3047703.0,2526853.0,,45.52020926361044,15.82630392788152,15.820814315320222,,22708548.0,2716180.0,1.019920415073527,0.9301237047752186,,0.11961046562730475,0.12936461354877968,,13769.832618025752,3.857797292857144,3.369465064044898,0.9524586221163939,1.1236027580551777,,5.43472999103283
COTPA,36420,2013,2912425.0,2847559.0,,3110673.0,2570397.0,,45.675932185736016,15.779645110890165,15.681471268294766,,23541410.0,2648752.0,0.9822234598315838,0.9152532537517221,,0.11251458599973409,0.12654560217635638,,15112.939814814816,3.7254332571428574,4.479130941633691,0.9362684538040482,1.1078284794138804,,5.420202408645716
COTPA,36420,2014,2927013.0,2858895.0,,3157834.0,2591221.0,,41.94999129492266,15.739590290584658,15.538624370352602,,24637555.0,2668429.0,0.9663553732081136,0.8958734196254148,,0.10830737871513631,0.11770309648512478,,17334.356382978724,3.4951793904761903,4.501566390504152,0.9269052774781702,1.103300336019197,,5.08268702598861
COTPA,36420,2015,3166452.0,3100993.0,,3330710.0,2800394.0,,39.730980005940005,15.44870546108962,15.340337768623563,,24660102.0,2849881.0,0.9540248391575177,0.8914914093646779,,0.11556647251499609,0.12503625078848013,,19454.232954545456,2.5085899428571428,4.869808880365291,0.9506837881412672,1.1073416812062875,,5.453901085505165
COTPA,36420,2016,3265299.0,3193729.0,,3507258.0,2955194.0,,47.58873979719666,15.556009935243502,15.404633075824394,,25539575.0,2809567.0,0.9034533590951396,0.8447904314987278,,0.11000836936401644,0.11825110226165264,,23086.846153846152,2.2095325,5.021829501046567,0.9310119187125669,1.0807172050295175,,5.5421503513154535
COTPA,36420,2017,3205600.0,3129122.0,,3493716.0,2888502.0,,45.54505195900297,15.651096427371487,15.313057307957378,,24781832.0,2765075.0,0.8798279573246819,0.8052255169341432,,0.11157669860727004,0.1176306554637471,,25934.130434782608,,4.930016102217554,0.9175330793916849,1.0833026946147173,,5.22380178437734
COTPA,36420,2018,3031321.0,2958863.0,,3436915.0,2839255.0,,24.58466853675462,15.666349107948692,15.311569739850727,,24720307.0,2639353.0,0.8706939977653307,0.7964457969159099,,0.10676861739621599,0.11272253271565334,,32969.91588785047,,4.661985694094777,0.8819889348441844,1.042126543758838,,5.09714939460387
Citylink,36420,2006,,,,,,,,,,,,,,,,,,,,3.119135416666667,,,,,
Citylink,36420,2007,,,,,,,,,,,,,,,,,,,,3.40736,,,,,
Citylink,36420,2008,,,,,,,,,,,,,,,,,,,,3.699487628571428,,,,,
Citylink,36420,2009,,,,,,,,,,,,,,,,,,,,2.6512979999999997,,,,,
Citylink,36420,2010,,,,,,,,,,,,,,,,,,,,3.1338452857142856,,,,,
Citylink,36420,2011,,,,,,,,,,,1199041.0,,,,,,,,,3.887059200000001,,,,,
Citylink,36420,2012,235005.0,226266.0,,279382.0,225238.0,,,15.677122495931766,14.728176289805793,,1404488.0,,,,,,,,,3.857797292857144,,0.841160132005641,1.0045640611264528,,
Citylink,36420,2013,265000.0,256547.0,,290222.0,230083.0,,,16.380065470143357,15.013572593800978,,1519706.0,,,,,,,,,3.7254332571428574,,0.9130941141608837,1.1150193625778524,,
Citylink,36420,2014,277475.0,268610.0,,283174.0,231143.0,,,15.776589225026465,14.83207135523614,,1646386.0,,,,,,,,,3.4951793904761903,,0.9798745647552388,1.1620944610046595,,
Citylink,36420,2015,290939.0,282639.0,,271238.0,231955.0,,,14.855030395969111,14.660283150044242,,1594042.0,,,,,,,,,2.5085899428571428,,1.0726336280314706,1.2185079002392705,,
Citylink,36420,2016,274074.0,265514.0,,266059.0,230480.0,,,14.234604890054037,14.416713579783574,,1416001.0,,,,,,,,,2.2095325,,1.0301248971092878,1.1520045123221103,,
Citylink,36420,2017,248738.0,240204.0,,266710.0,229013.0,,,14.168614534636633,14.366288187692115,,1961867.0,,,,,,,,,,,0.9326159499081399,1.0488662215682079,,
Citylink,36420,2018,213269.0,203406.0,,271539.0,229711.0,,,14.635065215047968,14.644332525819202,,1392780.0,305528.0,1.4325945167839678,1.5020599195697275,,0.21936558537601056,0.27420698172001323,,,,,0.7854083575471663,0.8854865461384087,,
