GEOID,year,jobs
41180,2015,1086387
41180,2016,1121565
41180,2017,1132892
41620,2010,449079
41620,2011,459038
41620,2012,469988
41620,2013,486039
41620,2014,495693
41620,2015,515064
41620,2016,534498
41620,2017,545509
41700,2010,621502
41700,2011,653484
41700,2012,679117
41700,2013,699775
41700,2014,723313
41700,2015,761107
41700,2016,777696
41700,2017,792336
41740,2010,949079
41740,2011,974679
41740,2012,977998
41740,2013,1006783
41740,2014,1032924
41740,2015,1057489
41740,2016,1095000
41740,2017,1112234
41860,2010,1523404
41860,2011,1579465
41860,2012,1629456
41860,2013,1693768
41860,2014,1755669
41860,2015,1845165
41860,2016,1907778
41860,2017,1930663
41940,2010,722909
41940,2011,735841
41940,2012,758955
41940,2013,811318
41940,2014,843315
41940,2015,868683
41940,2016,904868
41940,2017,919942
42660,2010,1259687
42660,2011,1308314
42660,2012,1337553
42660,2013,1376586
42660,2014,1419306
42660,2015,1478255
42660,2016,1545500
42660,2017,1579555
45300,2010,870583
45300,2011,915129
45300,2012,937970
45300,2013,967424
45300,2014,995166
45300,2015,1049478
45300,2016,1096389
45300,2017,1110947
46060,2010,261787
46060,2011,259667
46060,2012,259042
46060,2013,265424
46060,2014,267431
46060,2015,266250
46060,2016,272177
46060,2017,276606
46140,2010,334084
46140,2011,342527
46140,2012,351251
46140,2013,354247
46140,2014,361132
46140,2015,367465
46140,2016,364293
46140,2017,363349
46520,2010,306332
46520,2011,313683
46520,2012,320356
46520,2013,329364
46520,2014,333070
46520,2015,339597
46520,2016,349017
46520,2017,349312
47260,2010,513123
47260,2011,540009
47260,2012,527202
47260,2013,537358
47260,2014,538474
47260,2015,546100
47260,2016,550288
47260,2017,556402
47900,2010,2096937
47900,2011,2131136
47900,2012,2151547
47900,2013,2167223
47900,2014,2172972
47900,2015,2202523
47900,2016,2267579
47900,2017,2300737
